component_id,category,name,supplier,country,cost_usd,efficiency,lead_time_years,is_baseline,specs_json,source,confidence
LAS_BASE,drive_laser,TRUMPF 30 kW CO2 drive laser,TRUMPF,Germany,30000000,0.97,4.5,1,"{""laser_power_kw"": 30.0, ""conversion_efficiency"": 0.05}",S2-TRUMPF-30KW,MEDIUM
LAS_ALT1,drive_laser,CO2 drive laser derated to 20 kW,TRUMPF,Germany,21000000,0.93,3.5,0,"{""laser_power_kw"": 20.0, ""conversion_efficiency"": 0.05}",MODELED,LOW
LAS_ALT2,drive_laser,2 um solid-state driver (research stage),Research consortium,Netherlands,17500000,0.90,6.5,0,"{""laser_power_kw"": 25.0, ""conversion_efficiency"": 0.05}",S3-APL-2UM-5PCT,LOW
LAS_ALT3,drive_laser,15 kW CO2 laser hypothetical domestic build,HYPOTHETICAL,India,11000000,0.82,6.0,0,"{""laser_power_kw"": 15.0, ""conversion_efficiency"": 0.042}",MODELED,LOW
DRP_BASE,droplet_generator,Tin droplet generator 50 kHz,ASML,Netherlands,8000000,0.96,3.0,1,"{""droplet_rate_khz"": 50.0}",S2-TRUMPF-30KW,MEDIUM
DRP_ALT1,droplet_generator,Tin droplet generator 40 kHz,HYPOTHETICAL,Japan,5900000,0.92,2.5,0,"{""droplet_rate_khz"": 40.0}",MODELED,LOW
DRP_ALT2,droplet_generator,Piezo droplet generator 30 kHz hypothetical,HYPOTHETICAL,India,3400000,0.84,4.0,0,"{""droplet_rate_khz"": 30.0}",MODELED,LOW
COL_BASE,collector_mirror,ZEISS Ru-capped collector 5 sr,ZEISS,Germany,14000000,0.95,4.0,1,"{""collector_reflectivity"": 0.55, ""collection_solid_angle_sr"": 5.0}",S6-COLLECTOR-5SR,MEDIUM
COL_ALT1,collector_mirror,Collector extended to 5.5 sr,ZEISS,Germany,16800000,0.97,4.5,0,"{""collector_reflectivity"": 0.55, ""collection_solid_angle_sr"": 5.5}",S6-COLLECTOR-5SR,MEDIUM
COL_ALT2,collector_mirror,Grazing-incidence collector Ru-coated,HYPOTHETICAL,Germany,9800000,0.88,3.5,0,"{""collector_reflectivity"": 0.376, ""collection_solid_angle_sr"": 4.0}",S6-GIC-37PCT,LOW
